postcode sector,households,number of postcode units
TA6  7,2911,213
TA7  0,2119,218
TA7  8,2627,239
TA7  9,1756,217
TA8  1,3585,230
TA8  2,4553,306
TA9  3,3684,295
TA9  4,1704,223
TD12 4,653,97
TD15 1,2812,262
TD15 2,5750,374
TF1  1,1975,303
TF1  2,2929,223
TF1  3,3382,242
TF1  5,3457,280
TF1  6,3684,238
TF10 7,4512,379
TF10 8,1503,209
TF10 9,1388,160
TF11 8,2866,326
TF11 9,1631,201
TF12 5,2529,260
TF13 6,1683,221
TF2  0,1166,66
TF2  6,3009,285
TF2  7,3409,246
TF2  8,4076,267
TF2  9,4477,377
TF3  1,4400,296
TF3  2,3533,180
TF3  5,1517,154
TF4  2,3866,318
TF4  3,3801,339
TF5  0,2003,138
TF6  5,580,108
TF6  6,1490,236
TF7  4,2626,312
TF7  5,4888,320
TF8  7,1388,214
TF9  1,2896,259
TF9  2,2303,287
TF9  3,3437,334
TF9  4,1966,249
TN1  1,2126,360
TN1  2,3824,357
TN10 3,3324,254
TN10 4,3455,231
TN11 0,1810,254
TN11 8,1537,231
TN11 9,2354,277
TN12 0,2387,313
TN12 5,1367,174
TN12 6,4209,372
TN12 7,1164,187
TN12 8,944,146
TN12 9,1914,310
TN13 1,2170,384
TN13 2,3628,349
TN13 3,4362,370
TN14 5,2784,301
TN14 6,1442,210
TN14 7,2103,281
TN15 0,1759,257
TN15 6,4071,347
TN15 7,1429,232
TN15 8,2155,276
TN15 9,741,97
TN16 1,2244,314
TN16 2,1017,149
TN16 3,4808,360
TN17 1,960,136
TN17 2,1473,255
TN17 3,1920,216
TN17 4,1541,210
TN18 4,1741,244
TN18 5,1030,169
TN19 7,2144,279
TN2  3,4357,387
TN2  4,3546,324
TN2  5,4344,371
TN20 6,1719,236
TN21 0,2465,339
TN21 8,3214,354
TN21 9,1289,214
TN22 1,2827,314
TN22 2,1446,118
TN22 3,1767,307
TN22 4,1451,190
TN22 5,3616,390
TN23 1,829,345
TN23 3,5193,358
TN23 4,2130,164
TN23 5,5803,302
TN23 6,662,71
TN23 7,1280,110
TN24 0,5895,384
TN24 8,2643,347
TN24 9,4773,302
TN25 4,1918,222
TN25 5,1693,192
TN25 6,2107,274
TN25 7,936,173
TN26 1,1161,137
TN26 2,1511,204
TN26 3,2187,281
TN27 0,1855,244
TN27 8,1665,230
TN27 9,2050,305
TN28 8,3853,345
TN29 0,3531,308
TN29 9,2803,308
TN3  0,2246,286
TN3  8,702,131
TN3  9,1791,297
TN30 6,2681,307
TN30 7,1681,192
TN31 6,3089,338
TN31 7,4006,341
TN32 5,2172,315
TN33 0,3716,356
TN33 9,1851,242
TN34 1,3362,370
TN34 2,5495,311
TN34 3,5905,340
TN35 4,3189,272
TN35 5,4535,236
TN36 4,1332,117
TN37 6,5735,306
TN37 7,4411,335
TN38 0,7243,397
TN38 8,1938,103
TN38 9,4260,306
TN39 3,5563,365
TN39 4,4715,341
TN39 5,2421,138
TN4  0,3723,335
TN4  8,4115,360
TN4  9,5798,366
TN40 1,4493,331
TN40 2,4562,305
TN5  6,2126,309
TN5  7,1608,234
TN6  1,3472,385
TN6  2,4326,385
TN6  3,2384,320
TN7  4,953,138
TN8  5,2323,279
TN8  6,2103,293
TN8  7,1073,197
TN9  1,3013,369
TN9  2,4538,329
TQ1  1,4356,321
TQ1  2,2845,256
TQ1  3,4648,329
TQ1  4,4766,347
TQ10 9,1885,203
TQ11 0,1894,185
TQ12 1,4988,393
TQ12 2,2626,306
TQ12 3,4683,358
TQ12 4,3871,329
TQ12 5,4047,359
TQ12 6,3251,393
TQ13 0,2682,269
TQ13 7,2550,312
TQ13 8,1968,278
TQ13 9,3752,393
TQ14 0,1097,104
TQ14 8,4142,372
TQ14 9,4678,335
TQ2  5,2875,337
TQ2  6,4664,332
TQ2  7,4724,329
TQ2  8,3255,247
TQ3  1,3696,274
TQ3  2,4114,298
TQ3  3,6274,393
TQ4  5,2978,266
TQ4  6,2503,201
TQ4  7,3919,360
TQ5  0,2804,215
TQ5  8,2859,245
TQ5  9,4317,342
TQ6  0,1849,252
TQ6  9,3290,283
TQ7  1,3021,272
TQ7  2,2408,263
TQ7  3,2625,269
TQ7  4,1794,240
TQ8  8,2087,213
TQ9  5,4157,396
TQ9  6,2161,341
TQ9  7,2211,318
TR1  1,4126,389
TR1  2,1636,368
TR1  3,3991,379
TR10 8,3342,282
TR10 9,1262,172
TR11 2,3777,326
TR11 3,2230,327
TR11 4,3601,307
TR11 5,4648,364
TR12 6,2292,250
TR12 7,2594,240
TR13 0,1818,276
TR13 8,4428,378
TR13 9,2855,270
TR14 0,2105,231
TR14 7,3834,282
TR14 8,4099,352
TR14 9,1047,121
TR15 1,2778,271
TR15 2,2915,285
TR15 3,3514,320
TR16 4,2527,236
TR16 5,2285,276
TR16 6,1621,244
TR17 0,871,107
TR18 2,2869,349
TR18 3,2986,232
TR18 4,2736,287
TR18 5,1861,205
TR19 6,2101,283
TR19 7,3146,292
TR2  4,2412,287
TR2  5,2857,301
TR20 8,2198,333
TR20 9,2266,244
TR21 0,1046,101
TR22 0,106,2
TR24 0,164,17
TR25 0,73,4
TR26 1,2660,288
TR26 2,3461,324
TR26 3,891,139
TR27 4,3293,246
TR27 5,2018,188
TR27 6,1483,227
TR3  6,3700,316
TR3  7,2044,259
TR4  8,2875,333
TR4  9,2161,249
TR5  0,2087,221
TR6  0,1914,204
TR7  1,3585,359
TR7  2,4019,302
TR7  3,2670,186
TR8  4,1714,308
TR8  5,2122,285
TR9  6,3677,316
TS1  1,148,222
TS1  2,641,231
TS1  3,2124,215
TS1  4,4229,246
TS1  5,806,197
TS10 1,3423,277
TS10 2,4681,310
TS10 3,2539,239
TS10 4,4074,316
TS10 5,2142,236
TS11 6,1830,140
TS11 7,2085,145
TS11 8,1627,133
TS12 1,3070,244
TS12 2,5716,391
TS12 3,1725,151
TS13 4,3758,311
TS13 5,1481,130
TS14 6,3359,278
TS14 7,2441,161
TS14 8,2205,184
TS15 0,1103,120
TS15 9,4642,390
TS16 0,3127,284
TS16 9,1376,105
TS17 0,5760,391
TS17 5,3540,198
TS17 6,1927,210
TS17 7,990,113
TS17 8,2661,205
TS17 9,3386,210
TS18 1,1277,301
TS18 2,1339,284
TS18 3,2761,349
TS18 4,2699,181
TS18 5,2911,199
TS19 0,5548,327
TS19 7,3896,255
TS19 8,4181,370
TS19 9,2344,170
TS2  1,359,294
TS20 1,5245,324
TS20 2,4372,339
TS21 1,1656,225
TS21 2,1333,130
TS21 3,1423,177
TS21 4,1140,92
TS22 5,3676,341
TS23 1,2498,227
TS23 2,3342,261
TS23 3,6258,359
TS23 4,721,96
TS24 0,3385,340
TS24 7,681,253
TS24 8,2866,234
TS24 9,3517,200
TS25 1,4067,326
TS25 2,3520,237
TS25 3,2609,217
TS25 4,2610,192
TS25 5,4852,259
TS26 0,5507,357
TS26 8,2924,232
TS26 9,3102,215
TS27 3,2287,163
TS27 4,3283,250
TS28 5,2358,195
TS29 6,2794,209
TS3  0,3368,244
TS3  6,1722,174
TS3  7,3011,232
TS3  8,1796,223
TS3  9,3233,212
TS4  2,3661,341
TS4  3,3828,280
TS5  4,2412,221
TS5  5,3225,207
TS5  6,3316,254
TS5  7,2697,254
TS5  8,4969,310
TS6  0,4561,293
TS6  6,1434,289
TS6  7,2017,216
TS6  8,1276,112
TS6  9,4397,272
TS7  0,2778,254
TS7  8,4182,270
TS7  9,2768,203
TS8  0,4118,177
TS8  9,4966,318
TS9  5,2485,249
TS9  6,2564,233
TS9  7,1023,145
TW1  1,3600,307
TW1  2,2981,297
TW1  3,1768,288
TW1  4,3011,312
TW10 5,1407,139
TW10 6,4124,376
TW10 7,3280,299
TW11 0,2938,286
TW11 8,3904,381
TW11 9,3641,307
TW12 1,3000,279
TW12 2,4007,356
TW12 3,2975,239
TW13 4,4948,330
TW13 5,3446,223
TW13 6,3398,296
TW13 7,2407,225
TW14 0,2235,270
TW14 8,3940,273
TW14 9,4534,279
TW15 1,4420,363
TW15 2,3451,330
TW15 3,3553,290
TW16 5,2164,245
TW16 6,2383,251
TW16 7,3902,339
TW17 0,2223,194
TW17 8,2966,259
TW17 9,1270,165
TW18 1,3620,305
TW18 2,3560,292
TW18 3,1943,226
TW18 4,2410,384
TW19 5,1678,162
TW19 6,583,70
TW19 7,4460,305
TW2  5,4060,340
TW2  6,4319,272
TW2  7,4271,277
TW20 0,3442,352
TW20 8,3253,296
TW20 9,2983,326
TW3  1,3124,353
TW3  2,3627,266
TW3  3,4316,355
TW3  4,2932,236
TW4  5,3510,235
TW4  6,1827,210
TW4  7,3710,292
TW5  0,4597,327
TW5  9,4901,367
TW7  4,3125,331
TW7  5,3396,318
TW7  6,4314,362
TW7  7,3903,270
TW8  0,4217,334
TW8  8,2373,257
TW8  9,2235,343
TW9  1,2311,376
TW9  2,3162,349
TW9  3,2192,232
TW9  4,2817,255
UB1  1,3005,332
UB1  2,5948,349
UB1  3,3047,255
UB10 0,4299,371
UB10 8,4828,356
UB10 9,3915,224
UB2  4,4224,374
UB2  5,5812,392
UB3  1,3277,349
UB3  2,4741,345
UB3  3,2615,205
UB3  4,3308,278
UB3  5,2372,181
UB4  0,4497,345
UB4  8,4624,300
UB4  9,4658,325
UB5  4,5844,354
UB5  5,4968,334
UB5  6,6376,392
UB6  0,4191,352
UB6  7,2992,255
UB6  8,5348,385
UB6  9,5439,354
UB7  0,1499,191
UB7  7,3847,344
UB7  8,2796,217
UB7  9,3536,219
UB8  1,2386,365
UB8  2,4819,389
UB8  3,6061,366
UB9  4,996,118
UB9  5,2238,226
UB9  6,3132,274
W10  4,4286,274
W10  5,5436,397
W10  6,5546,383
W11  1,5344,357
W11  2,3957,361
W11  3,2566,357
W11  4,4481,370
W12  0,5839,345
W12  7,4605,361
W12  8,4389,343
W12  9,6143,341
W13  0,4405,336
W13  8,3230,283
W13  9,6115,381
W14  0,5800,392
W14  8,6042,396
W14  9,7058,392
W1B  1,334,102
W1D  3,174,185
W1D  4,259,151
W1D  6,412,161
W1D  7,212,113
W1F  0,641,235
W1F  7,404,251
W1G  6,522,172
W1G  7,215,117
W1G  8,920,250
W1G  9,211,241
W1H  1,664,229
W1H  2,1145,156
W1H  4,479,150
W1H  5,779,214
W1H  7,977,247
W1J  5,325,216
W1J  6,128,156
W1J  7,679,265
W1J  8,300,133
W1K  1,336,110
W1K  2,518,250
W1K  3,210,176
W1K  4,85,125
W1K  5,163,192
W1K  6,568,160
W1K  7,467,156
W1S  1,135,247
W1T  1,309,254
W1T  2,378,183
W1T  3,160,157
W1T  4,257,207
W1T  5,654,144
W1T  6,164,165
W1U  1,314,196
W1U  2,177,191
W1U  3,372,194
W1U  4,804,197
W1U  5,693,174
W1U  6,908,263
W1U  8,462,106
W1W  5,783,137
W1W  6,1116,236
W1W  7,539,271
W2   1,3671,393
W2   2,3775,391
W2   3,4605,379
W2   4,4747,376
W2   5,5493,355
W2   6,4459,306
W3   0,2413,282
W3   6,5600,395
W3   7,5769,392
W3   8,4564,396
W3   9,3387,286
W4   1,3711,390
W4   2,4653,393
W4   3,5289,395
W4   4,2642,299
W4   5,4299,395
W5   1,4034,349
W5   2,4665,395
W5   3,4368,374
W5   4,5859,338
W5   5,2289,288
W6   0,5682,396
W6   7,2831,278
W6   8,4006,307
W6   9,3953,388
W7   1,3759,238
W7   2,3058,228
W7   3,4617,309
W8   4,2130,286
W8   5,2575,338
W8   6,3181,359
W8   7,3054,311
W9   1,6591,396
W9   2,5541,335
W9   3,6191,377
WA1  1,489,315
WA1  2,1104,288
WA1  3,4643,276
WA1  4,3407,275
WA10 1,1359,302
WA10 2,2590,268
WA10 3,4382,308
WA10 4,3842,243
WA10 5,2721,213
WA10 6,3406,267
WA11 0,7223,371
WA11 7,3078,246
WA11 8,2715,254
WA11 9,5110,343
WA12 0,1900,178
WA12 8,3453,250
WA12 9,4634,388
WA13 0,2943,327
WA13 9,2634,334
WA14 1,1586,286
WA14 2,2712,377
WA14 3,1742,298
WA14 4,3044,381
WA14 5,3252,386
WA15 0,1895,274
WA15 6,5148,329
WA15 7,4459,372
WA15 8,3708,394
WA15 9,2382,320
WA16 0,2727,347
WA16 6,1435,331
WA16 7,1513,257
WA16 8,3492,394
WA16 9,1595,286
WA2  0,7596,373
WA2  7,4070,294
WA2  8,2425,307
WA2  9,4313,252
WA3  1,1489,163
WA3  2,4184,331
WA3  3,4560,351
WA3  4,1984,198
WA3  5,2031,225
WA3  6,4448,389
WA3  7,2014,245
WA4  1,4846,315
WA4  2,5711,381
WA4  3,1782,143
WA4  4,1288,286
WA4  5,2895,272
WA4  6,4168,358
WA5  0,2637,164
WA5  1,5829,355
WA5  2,4240,312
WA5  3,4337,371
WA5  4,1711,152
WA5  7,622,71
WA5  8,2670,135
WA5  9,2289,124
WA6  0,1737,218
WA6  6,2068,331
WA6  7,2589,235
WA6  8,1037,187
WA6  9,1096,182
WA7  1,2809,355
WA7  2,6926,389
WA7  3,1562,194
WA7  4,4102,354
WA7  5,5596,347
WA7  6,6480,305
WA8  0,1579,385
WA8  3,2893,179
WA8  4,3109,134
WA8  5,924,110
WA8  6,3472,272
WA8  7,4576,312
WA8  8,5416,370
WA8  9,4954,397
WA9  1,2445,256
WA9  2,3104,167
WA9  3,5198,387
WA9  4,5959,395
WA9  5,5216,353
WC1A 1,134,183
WC1A 2,168,195
WC1B 3,475,247
WC1B 4,316,93
WC1E 6,472,123
WC1E 7,385,169
WC1H 0,829,191
WC1H 8,1161,152
WC1H 9,2059,329
WC1N 1,1565,187
WC1N 2,811,177
WC1N 3,1168,205
WC1R 4,400,234
WC1V 6,273,208
WC1V 7,132,193
WC1X 0,1313,147
WC1X 8,211,280
WC1X 9,1755,234
WC2B 4,374,158
WC2B 5,707,265
WC2E 7,435,187
WC2E 9,248,247
WC2H 0,503,170
WC2H 7,141,224
WC2H 8,148,197
WC2H 9,648,311
WC2N 4,190,183
WC2N 5,207,154
WC2N 6,240,158
WD17 1,643,269
WD17 2,1669,205
WD17 3,1453,146
WD17 4,3261,292
WD18 0,3336,275
WD18 6,2056,120
WD18 7,4172,292
WD18 8,289,208
WD19 4,3993,287
WD19 5,2179,118
WD19 6,2894,194
WD19 7,2422,196
WD23 1,2599,301
WD23 2,3238,286
WD23 3,2259,233
WD23 4,2572,203
WD24 4,1862,226
WD24 5,2932,226
WD24 6,1790,129
WD24 7,2260,196
WD25 0,3304,208
WD25 7,3378,227
WD25 8,561,137
WD25 9,4162,270
WD3  1,2209,314
WD3  3,4690,339
WD3  4,1336,241
WD3  5,3004,341
WD3  6,526,93
WD3  7,1370,119
WD3  8,2629,158
WD3  9,1070,102
WD4  8,3428,321
WD4  9,1428,182
WD5  0,4884,331
WD6  1,2984,386
WD6  2,3684,266
WD6  3,1937,314
WD6  4,3490,257
WD6  5,3121,277
WD7  7,1147,203
WD7  8,2135,246
WD7  9,1643,174
WF1  1,877,313
WF1  2,3313,356
WF1  3,3768,315
WF1  4,4742,313
WF1  5,3270,317
WF10 1,1243,221
WF10 2,3875,273
WF10 3,5438,301
WF10 4,5020,281
WF10 5,4861,372
WF11 0,2612,188
WF11 8,3029,259
WF11 9,2172,191
WF12 0,4013,279
WF12 7,3570,273
WF12 8,2879,234
WF12 9,2843,243
WF13 1,671,219
WF13 2,2622,249
WF13 3,3856,266
WF13 4,3369,247
WF14 0,3137,220
WF14 8,1883,206
WF14 9,3812,311
WF15 6,2356,212
WF15 7,3412,229
WF15 8,2205,151
WF16 0,1980,196
WF16 9,3044,241
WF17 0,3443,240
WF17 5,1357,226
WF17 6,2773,233
WF17 7,4160,250
WF17 8,2807,221
WF17 9,2773,242
WF2  0,4835,370
WF2  6,3586,306
WF2  7,3746,279
WF2  8,6004,356
WF2  9,4106,297
WF3  1,4699,342
WF3  2,2301,207
WF3  3,3732,328
WF3  4,3365,235
WF4  1,3775,291
WF4  2,2908,231
WF4  3,4106,264
WF4  4,3824,340
WF4  5,2264,234
WF4  6,2306,170
WF5  0,4001,282
WF5  8,2773,237
WF5  9,2849,294
WF6  1,5231,355
WF6  2,4478,315
WF7  5,3244,215
WF7  6,2846,182
WF7  7,3068,258
WF8  1,2205,294
WF8  2,6083,367
WF8  3,2709,273
WF8  4,3595,295
WF9  1,2981,213
WF9  2,4713,350
WF9  3,3684,273
WF9  4,4088,302
WF9  5,1962,173
WN1  1,350,301
WN1  2,4585,310
WN1  3,4737,307
WN2  1,3802,288
WN2  2,3557,230
WN2  3,4146,301
WN2  4,6660,348
WN2  5,4979,287
WN3  4,2508,270
WN3  5,5237,311
WN3  6,5014,320
WN4  0,4255,229
WN4  8,3644,224
WN4  9,4456,292
WN5  0,3917,229
WN5  7,4964,274
WN5  8,5008,283
WN5  9,5634,283
WN6  0,5654,392
WN6  7,4364,263
WN6  8,5140,252
WN6  9,2207,185
WN7  1,4421,298
WN7  2,4562,284
WN7  3,4575,282
WN7  4,3382,303
WN7  5,4848,280
WN8  0,2678,164
WN8  6,6910,351
WN8  7,1838,161
WN8  8,4660,252
WN8  9,3674,263
WR1  1,2012,276
WR1  2,1130,257
WR1  3,1972,246
WR10 1,3328,257
WR10 2,2630,312
WR10 3,2166,196
WR11 1,2934,201
WR11 2,2891,211
WR11 3,1791,160
WR11 4,3820,347
WR11 7,3653,292
WR11 8,3257,262
WR12 7,2939,256
WR13 5,1557,191
WR13 6,2102,251
WR14 1,5382,395
WR14 2,4996,363
WR14 3,2862,287
WR14 4,2542,270
WR15 8,3233,320
WR2  4,4275,351
WR2  5,4901,340
WR2  6,3274,250
WR3  7,4807,356
WR3  8,4233,330
WR4  0,4216,316
WR4  9,6821,392
WR5  1,4153,302
WR5  2,3548,329
WR5  3,5611,386
WR6  5,2251,276
WR6  6,3041,351
WR7  4,2090,268
WR8  0,2769,291
WR8  9,1201,146
WR9  0,2540,255
WR9  7,4203,370
WR9  8,5210,352
WR9  9,1825,138
WS1  1,290,279
WS1  2,3412,240
WS1  3,3275,259
WS1  4,3403,182
WS10 0,5781,274
WS10 7,2719,280
WS10 8,4988,329
WS10 9,5300,294
WS11 0,1974,170
WS11 1,4100,311
WS11 4,1855,84
WS11 5,3337,141
WS11 6,1805,90
WS11 7,1668,121
WS11 8,775,62
WS11 9,3168,187
WS12 0,1302,81
WS12 1,2249,135
WS12 2,2553,132
WS12 3,2030,87
WS12 4,6608,373
WS13 6,4289,356
WS13 7,4744,273
WS13 8,2685,391
WS14 0,1844,235
WS14 9,5226,394
WS15 1,4297,310
WS15 2,6333,396
WS15 3,1774,254
WS15 4,3293,262
WS2  0,3507,168
WS2  7,3262,214
WS2  8,4130,289
WS2  9,4452,305
WS3  1,4841,273
WS3  2,5928,324
WS3  3,5846,314
WS3  4,3839,205
WS3  5,860,66
WS4  1,5255,269
WS4  2,2054,149
WS5  3,3779,232
WS5  4,4523,267
WS6  6,3924,201
WS6  7,3477,184
WS7  0,1739,141
WS7  1,2199,121
WS7  2,2415,116
WS7  3,641,85
WS7  4,3159,127
WS7  9,2585,168
WS8  6,2584,168
WS8  7,3962,237
WS9  0,3889,270
WS9  8,4166,346
WS9  9,3620,218
WV1  1,681,244
WV1  2,4218,306
WV1  3,379,245
WV1  4,1603,299
WV10 0,5180,282
WV10 6,4965,334
WV10 7,2651,250
WV10 8,4910,266
WV10 9,5576,324
WV11 1,5135,283
WV11 2,4764,254
WV11 3,5167,291
WV12 4,4492,246
WV12 5,6281,340
WV13 1,2378,259
WV13 2,2987,221
WV13 3,3246,260
WV14 0,2644,262
WV14 6,3588,219
WV14 7,1851,182
WV14 8,6186,349
WV14 9,5741,304
WV15 5,1639,176
WV15 6,1887,189
WV16 4,3524,268
WV16 5,1513,132
WV16 6,3046,274
WV2  1,1290,111
WV2  2,2318,223
WV2  3,1577,165
WV2  4,858,236
WV3  0,3278,323
WV3  7,2903,171
WV3  8,2819,154
WV3  9,4070,272
WV4  4,5658,330
WV4  5,4223,314
WV4  6,4433,284
WV5  0,2507,184
WV5  7,1174,111
WV5  8,1640,153
WV5  9,1524,124
WV6  0,5665,338
WV6  7,5659,392
WV6  8,4848,354
WV6  9,3164,218
WV7  3,2853,257
WV8  1,5002,378
WV8  2,1797,144
WV9  5,3245,233
YO1  6,1314,167
YO1  7,549,156
YO1  9,942,194
YO10 3,5164,324
YO10 4,3973,256
YO10 5,2074,196
YO11 1,2583,318
YO11 2,5068,330
YO11 3,5117,357
YO12 4,3961,299
YO12 5,4739,263
YO12 6,4854,276
YO12 7,5477,270
YO13 0,2557,259
YO13 9,2328,199
YO14 0,2862,199
YO14 9,3555,288
YO15 1,1935,192
YO15 2,2735,263
YO15 3,2765,214
YO16 4,4558,327
YO16 6,3861,206
YO16 7,4206,235
YO17 6,1249,161
YO17 7,2377,228
YO17 8,2625,239
YO17 9,3464,270
YO18 7,2875,281
YO18 8,2634,234
YO19 4,607,68
YO19 5,1915,201
YO19 6,2808,295
YO21 1,3100,301
YO21 2,1439,195
YO21 3,3326,281
YO22 4,3410,305
YO22 5,1586,171
YO23 1,4223,247
YO23 2,1789,135
YO23 3,2437,227
YO23 7,449,80
YO24 1,2442,210
YO24 2,3407,178
YO24 3,3835,203
YO24 4,3836,240
YO25 3,1128,170
YO25 4,2151,198
YO25 5,3016,228
YO25 6,2941,236
YO25 8,2732,320
YO25 9,3152,361
YO26 4,3106,165
YO26 5,4940,283
YO26 6,2293,233
YO26 7,866,126
YO26 8,1210,159
YO26 9,565,76
YO30 1,1020,100
YO30 2,654,66
YO30 4,1162,146
YO30 5,3275,221
YO30 6,4227,232
YO30 7,1261,100
YO31 0,2687,202
YO31 1,2147,134
YO31 7,2755,253
YO31 8,2996,166
YO31 9,2916,172
YO32 2,2354,177
YO32 3,3034,189
YO32 4,1284,80
YO32 5,2395,194
YO32 9,3318,270
YO41 1,2294,273
YO41 4,864,109
YO41 5,1134,129
YO42 1,891,173
YO42 2,3733,379
YO42 4,1774,231
YO43 3,3313,292
YO43 4,2155,240
YO51 9,2474,322
YO60 6,798,104
YO60 7,1461,207
YO61 1,2143,246
YO61 2,525,78
YO61 3,2575,296
YO61 4,1017,124
YO62 4,1124,147
YO62 5,1516,201
YO62 6,2330,226
YO62 7,918,119
YO7  1,4367,344
YO7  2,1267,199
YO7  3,1666,308
YO7  4,1504,247
YO8  3,2082,193
YO8  4,3239,244
YO8  5,2784,216
YO8  6,2130,163
YO8  8,3615,293
YO8  9,5325,353
LD7  1,2367,23
LD8  2,2065,28
LL14 5,2257,28
NP16 7,2435,203
NP25 3,2425,5
NP25 4,1460,17
NP25 5,2862,15
NP7  8,1348,2
